Steam_ID;Name;Tick;Time;Round;IsAlive;PlayerX;PlayerY;PlayerZ;ViewX;ViewY;ViewXPunchAngle;ViewYPunchAngle;AimXPunchAngle;AimYPunchAngle;AimXPunchVel;AimYPunchVel;HasShot;Weapon;
76561197976883396;Skas;0;0.1134259;0;True;182.25;2439.01;-126.9688;264.0454;359.8901;0;0;0;0;0;0;False;models/weapons/v_rif_m4a1_s.mdl;
76561197976883396;Skas;3;0.1296296;0;True;182.25;2439.01;-126.9688;264.0454;359.8901;0;0;0;0;0;0;False;models/weapons/v_rif_m4a1_s.mdl;
76561197976883396;Skas;4;0.1458333;0;True;182.25;2439.01;-126.9688;264.0454;359.8901;0;0;0;0;0;0;False;models/weapons/v_rif_m4a1_s.mdl;
76561197976883396;Skas;5;0.162037;0;True;182.25;2439.01;-126.9688;264.0454;359.8901;0;0;0;0;0;0;False;models/weapons/v_rif_m4a1_s.mdl;
76561197976883396;Skas;6;0.1782407;0;True;182.25;2439.01;-126.9688;264.0454;359.8901;0;0;0;0;0;0;False;models/weapons/v_rif_m4a1_s.mdl;
76561197976883396;Skas;7;0.1944444;0;True;182.25;2439.01;-126.9688;264.0454;359.8901;0;0;0;0;0;0;False;models/weapons/v_rif_m4a1_s.mdl;
76561197976883396;Skas;8;0.2106481;0;True;182.25;2439.01;-126.9688;264.0454;359.8901;0;0;0;0;0;0;False;models/weapons/v_rif_m4a1_s.mdl;
76561197976883396;Skas;9;0.2268519;0;True;182.25;2439.01;-126.9688;264.0454;359.8901;0;0;0;0;0;0;False;models/weapons/v_rif_m4a1_s.mdl;
76561197976883396;Skas;10;0.2430556;0;True;182.25;2439.01;-126.9688;264.0454;359.8901;0;0;0;0;0;0;False;models/weapons/v_rif_m4a1_s.mdl;
76561197976883396;Skas;11;0.2592593;0;True;182.25;2439.01;-126.9688;264.0454;359.8901;0;0;0;0;0;0;False;models/weapons/v_rif_m4a1_s.mdl;
